timestamp(KST),open,high,low,close,volume
2025-03-03 11:20:00,3652000,3652000,3649000,3649000,32.69872549
2025-03-03 11:21:00,3650000,3650000,3644000,3644000,35.58240497
2025-03-03 11:22:00,3644000,3645000,3632000,3635000,134.44286143
2025-03-03 11:23:00,3632000,3635000,3622000,3626000,433.80075609
2025-03-03 11:24:00,3626000,3635000,3624000,3630000,84.01833083
2025-03-03 11:25:00,3629000,3630000,3620000,3620000,64.72544197
2025-03-03 11:26:00,3622000,3627000,3612000,3613000,182.28903109
2025-03-03 11:27:00,3617000,3617000,3606000,3609000,227.38647044
2025-03-03 11:28:00,3607000,3614000,3604000,3612000,161.58022179
2025-03-03 11:29:00,3612000,3614000,3603000,3604000,98.74517071
2025-03-03 11:30:00,3604000,3613000,3604000,3606000,145.43205021
2025-03-03 11:31:00,3607000,3616000,3606000,3610000,70.68502017
2025-03-03 11:32:00,3614000,3615000,3611000,3614000,51.64881747
2025-03-03 11:33:00,3614000,3621000,3613000,3620000,88.27943706
2025-03-03 11:34:00,3621000,3626000,3620000,3626000,51.46434732
2025-03-03 11:35:00,3625000,3632000,3623000,3630000,64.04067715
2025-03-03 11:36:00,3630000,3637000,3630000,3631000,88.12204575
2025-03-03 11:37:00,3630000,3635000,3629000,3631000,89.79590849
2025-03-03 11:38:00,3630000,3635000,3626000,3630000,93.38985219
2025-03-03 11:39:00,3630000,3633000,3628000,3632000,39.57582834
2025-03-03 11:40:00,3632000,3634000,3629000,3633000,42.78008649
2025-03-03 11:41:00,3634000,3638000,3632000,3636000,34.7445731
2025-03-03 11:42:00,3637000,3643000,3636000,3638000,51.93127019
2025-03-03 11:43:00,3638000,3640000,3635000,3636000,54.52791128
2025-03-03 11:44:00,3636000,3637000,3634000,3637000,27.88853384
2025-03-03 11:45:00,3635000,3639000,3634000,3637000,31.91866139
2025-03-03 11:46:00,3637000,3643000,3634000,3643000,101.32541249
2025-03-03 11:47:00,3643000,3654000,3641000,3650000,114.3617243
2025-03-03 11:48:00,3650000,3650000,3642000,3648000,40.57742684
2025-03-03 11:49:00,3648000,3648000,3643000,3643000,46.48853502
2025-03-03 11:50:00,3646000,3646000,3639000,3643000,44.64921688
2025-03-03 11:51:00,3643000,3646000,3641000,3646000,20.57373803
2025-03-03 11:52:00,3645000,3650000,3644000,3650000,31.14223669
2025-03-03 11:53:00,3650000,3651000,3647000,3649000,38.4233155
2025-03-03 11:54:00,3649000,3649000,3646000,3647000,20.68607002
2025-03-03 11:55:00,3647000,3647000,3643000,3645000,34.95149844
2025-03-03 11:56:00,3645000,3646000,3643000,3645000,13.89246833
2025-03-03 11:57:00,3645000,3650000,3645000,3650000,41.61988776
2025-03-03 11:58:00,3650000,3653000,3648000,3651000,34.88610731
2025-03-03 11:59:00,3654000,3655000,3652000,3653000,46.66993517
2025-03-03 12:00:00,3653000,3655000,3652000,3654000,21.97303246
2025-03-03 12:01:00,3655000,3659000,3655000,3658000,55.96938294
2025-03-03 12:02:00,3658000,3665000,3657000,3665000,31.15074426
2025-03-03 12:03:00,3665000,3665000,3657000,3657000,67.84412599
2025-03-03 12:04:00,3657000,3657000,3651000,3651000,43.92440117
2025-03-03 12:05:00,3652000,3654000,3650000,3652000,56.09687549
2025-03-03 12:06:00,3652000,3653000,3648000,3653000,52.70801106
2025-03-03 12:07:00,3652000,3653000,3646000,3647000,56.21895614
2025-03-03 12:08:00,3647000,3647000,3644000,3646000,18.31020729
2025-03-03 12:09:00,3646000,3651000,3644000,3648000,23.18043116
2025-03-03 12:10:00,3649000,3651000,3648000,3650000,33.94232533
2025-03-03 12:11:00,3651000,3651000,3649000,3650000,28.30902487
2025-03-03 12:12:00,3650000,3653000,3649000,3653000,33.9323792
2025-03-03 12:13:00,3653000,3655000,3650000,3651000,9.43139621
2025-03-03 12:14:00,3651000,3652000,3644000,3647000,35.86589547
2025-03-03 12:15:00,3647000,3651000,3644000,3648000,39.47074129
2025-03-03 12:16:00,3651000,3651000,3641000,3645000,21.98801257
2025-03-03 12:17:00,3644000,3646000,3641000,3646000,15.21572585
2025-03-03 12:18:00,3646000,3646000,3640000,3641000,30.73934134
2025-03-03 12:19:00,3641000,3641000,3632000,3635000,101.51500069
2025-03-03 12:20:00,3635000,3637000,3632000,3637000,21.92939938
2025-03-03 12:21:00,3637000,3639000,3636000,3638000,15.70624239
2025-03-03 12:22:00,3639000,3644000,3634000,3635000,21.37820815
2025-03-03 12:23:00,3635000,3635000,3629000,3630000,48.88241774
2025-03-03 12:24:00,3631000,3631000,3627000,3628000,49.73347623
2025-03-03 12:25:00,3628000,3632000,3624000,3625000,80.1515807
2025-03-03 12:26:00,3627000,3630000,3623000,3626000,36.31685306
2025-03-03 12:27:00,3626000,3631000,3625000,3631000,25.34576322
