timestamp,date_time,open_price,high_price,low_price,trade_price,volume
1741889537000,2025-03-14T03:12:17,119929000,119983000,119929000,119983000,0.4390025
1741889538000,2025-03-14T03:12:18,119930000,119995000,119929000,119995000,0.06701836
1741889539000,2025-03-14T03:12:19,119998000,120044000,119930000,119935000,0.48507957
1741889540000,2025-03-14T03:12:20,119936000,119936000,119936000,119936000,0.00562528
1741889541000,2025-03-14T03:12:21,119936000,119936000,119933000,119933000,0.02512533
1741889542000,2025-03-14T03:12:22,119933000,119933000,119933000,119933000,0.066
1741889543000,2025-03-14T03:12:23,120050000,120050000,119933000,119933000,0.0251285
1741889544000,2025-03-14T03:12:24,119936000,119936000,119933000,119933000,0.0214
1741889547000,2025-03-14T03:12:27,119933000,119933000,119933000,119933000,0.039
1741889548000,2025-03-14T03:12:28,119933000,119933000,119933000,119933000,0.0254169
1741889549000,2025-03-14T03:12:29,119933000,119933000,119929000,119929000,0.0421
1741889550000,2025-03-14T03:12:30,119999000,119999000,119999000,119999000,0.003
1741889551000,2025-03-14T03:12:31,119933000,119933000,119929000,119929000,0.0683
1741889553000,2025-03-14T03:12:33,119929000,119929000,119929000,119929000,0.066
1741889554000,2025-03-14T03:12:34,119929000,119993000,119929000,119993000,0.1028059
1741889555000,2025-03-14T03:12:35,119929000,119929000,119929000,119929000,0.06
1741889556000,2025-03-14T03:12:36,119929000,120002000,119929000,120002000,0.09259071
1741889557000,2025-03-14T03:12:37,119929000,119929000,119929000,119929000,0.63044203
1741889565000,2025-03-14T03:12:45,119929000,119929000,119929000,119929000,0.0013
1741889567000,2025-03-14T03:12:47,119999000,119999000,119999000,119999000,0.02869603
1741889568000,2025-03-14T03:12:48,119929000,119929000,119929000,119929000,0.02243151
1741889569000,2025-03-14T03:12:49,119929000,119929000,119929000,119929000,0.00008336
1741889576000,2025-03-14T03:12:56,119929000,119929000,119929000,119929000,0.00188818
1741889580000,2025-03-14T03:13:00,120000000,120000000,120000000,120000000,0.0048496
1741889586000,2025-03-14T03:13:06,119987000,120002000,119931000,119999000,0.30682265
1741889592000,2025-03-14T03:13:12,120000000,120000000,120000000,120000000,0.00066414
1741889594000,2025-03-14T03:13:14,120000000,120000000,120000000,120000000,0.0056
1741889596000,2025-03-14T03:13:16,120000000,120000000,120000000,120000000,0.005
1741889598000,2025-03-14T03:13:18,120050000,120050000,120050000,120050000,0.00106256
1741889599000,2025-03-14T03:13:19,120000000,120050000,120000000,120050000,0.00875064
1741889600000,2025-03-14T03:13:20,120050000,120052000,120001000,120052000,0.00179784
1741889601000,2025-03-14T03:13:21,120052000,120052000,120052000,120052000,0.025
1741889602000,2025-03-14T03:13:22,120052000,120052000,120052000,120052000,0.0346
1741889604000,2025-03-14T03:13:24,120054000,120054000,120054000,120054000,0.00167091
1741889605000,2025-03-14T03:13:25,120054000,120054000,120052000,120052000,0.0119
1741889607000,2025-03-14T03:13:27,120056000,120072000,120010000,120010000,0.04058511
1741889608000,2025-03-14T03:13:28,120065000,120072000,120065000,120072000,0.00372385
1741889609000,2025-03-14T03:13:29,120072000,120072000,120072000,120072000,0.0012
1741889610000,2025-03-14T03:13:30,120073000,120098000,120073000,120098000,0.04163275
1741889613000,2025-03-14T03:13:33,120072000,120080000,120072000,120080000,0.00335384
1741889614000,2025-03-14T03:13:34,120098000,120098000,120098000,120098000,0.00971403
1741889615000,2025-03-14T03:13:35,120099000,120099000,120099000,120099000,0.00016686
1741889616000,2025-03-14T03:13:36,120072000,120072000,120072000,120072000,0.0009
1741889619000,2025-03-14T03:13:39,120072000,120072000,120072000,120072000,0.0052
1741889620000,2025-03-14T03:13:40,120072000,120098000,120072000,120098000,0.01345132
1741889622000,2025-03-14T03:13:42,120073000,120073000,120073000,120073000,0.0007
1741889623000,2025-03-14T03:13:43,120073000,120073000,120072000,120072000,0.0779
1741889625000,2025-03-14T03:13:45,120072000,120098000,120072000,120098000,0.01674717
1741889626000,2025-03-14T03:13:46,120098000,120098000,120098000,120098000,0.00083265
1741889628000,2025-03-14T03:13:48,120098000,120098000,120098000,120098000,0.00515299
1741889629000,2025-03-14T03:13:49,120098000,120098000,120098000,120098000,0.00008336
1741889631000,2025-03-14T03:13:51,120098000,120099000,120098000,120099000,0.00338318
1741889632000,2025-03-14T03:13:52,120099000,120099000,120098000,120098000,0.00433061
1741889633000,2025-03-14T03:13:53,120098000,120149000,120098000,120149000,0.32731127
1741889634000,2025-03-14T03:13:54,120149000,120149000,120149000,120149000,0.00832299
1741889637000,2025-03-14T03:13:57,120098000,120149000,120098000,120149000,0.01291241
1741889638000,2025-03-14T03:13:58,120149000,120149000,120149000,120149000,0.01665667
1741889639000,2025-03-14T03:13:59,120148000,120149000,120148000,120149000,0.01333564
1741889640000,2025-03-14T03:14:00,120149000,120149000,120098000,120098000,0.00509056
1741889641000,2025-03-14T03:14:01,120098000,120149000,120098000,120149000,0.05355709
1741889642000,2025-03-14T03:14:02,120098000,120149000,120098000,120149000,0.01358359
1741889643000,2025-03-14T03:14:03,120149000,120149000,120149000,120149000,0.00307068
1741889644000,2025-03-14T03:14:04,120140000,120140000,120140000,120140000,0.00065243
1741889645000,2025-03-14T03:14:05,120140000,120140000,120140000,120140000,0.03849799
1741889646000,2025-03-14T03:14:06,120149000,120171000,120099000,120099000,0.84137535
1741889647000,2025-03-14T03:14:07,120172000,120175000,120149000,120149000,0.03338726
1741889648000,2025-03-14T03:14:08,120149000,120183000,120149000,120149000,0.0659076
1741889649000,2025-03-14T03:14:09,120149000,120176000,120149000,120176000,0.10416057
1741889650000,2025-03-14T03:14:10,120149000,120149000,120149000,120149000,0.01688
1741889651000,2025-03-14T03:14:11,120149000,120149000,120149000,120149000,0.0207
1741889652000,2025-03-14T03:14:12,120184000,120186000,120099000,120099000,0.01132045
1741889656000,2025-03-14T03:14:16,120150000,120150000,120150000,120150000,0.0017
1741889657000,2025-03-14T03:14:17,120184000,120184000,120184000,120184000,0.30741991
1741889658000,2025-03-14T03:14:18,120150000,120151000,120150000,120151000,0.00565573
1741889659000,2025-03-14T03:14:19,120150000,120150000,120150000,120150000,0.0011
1741889660000,2025-03-14T03:14:20,120150000,120150000,120150000,120150000,0.0001257
1741889661000,2025-03-14T03:14:21,120150000,120150000,120150000,120150000,0.0141257
1741889662000,2025-03-14T03:14:22,120150000,120150000,120099000,120099000,0.07544362
1741889663000,2025-03-14T03:14:23,120151000,120151000,120151000,120151000,0.00025113
1741889664000,2025-03-14T03:14:24,120151000,120151000,120151000,120151000,0.00572485
1741889665000,2025-03-14T03:14:25,120151000,120151000,120151000,120151000,0.03196209
